<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190704,00:00:00,251.6000000,256.4000000,250.6100000,255.3500000,43456600
20190705,00:00:00,255.2000000,255.9600000,250.1200000,250.8900000,36201160
20190708,00:00:00,250.1100000,250.9600000,245.2000000,248.5100000,39287950
20190709,00:00:00,248.6500000,252.9300000,247.7100000,250.1700000,32399700
20190710,00:00:00,250.6500000,251.4800000,248.8000000,250.2100000,32997900
20190711,00:00:00,250.2100000,250.6900000,245.0000000,247.2000000,42946890
20190712,00:00:00,247.0700000,247.8000000,244.0000000,245.5000000,21518430
20190715,00:00:00,246.9800000,248.0800000,240.1000000,240.3000000,35954500
20190716,00:00:00,240.1000000,240.4000000,235.8300000,238.0100000,40808070
20190717,00:00:00,223.5600000,224.0300000,218.6300000,220.1900000,49159480
20190718,00:00:00,219.0000000,219.8000000,215.7700000,218.3000000,30832300
20190719,00:00:00,219.4900000,220.4300000,215.3700000,216.0000000,19994180
20190722,00:00:00,215.9600000,220.0000000,214.1000000,217.1200000,33671480
20190723,00:00:00,217.5000000,221.1700000,216.7600000,217.3900000,34688860
20190724,00:00:00,218.4700000,218.4700000,210.5100000,212.0000000,44472730
20190725,00:00:00,208.0000000,228.9400000,206.0000000,219.0000000,168276260
20190726,00:00:00,217.0000000,236.0000000,217.0000000,234.2300000,180746030
20190729,00:00:00,234.1200000,238.7000000,231.8300000,236.7300000,50392430
20190730,00:00:00,236.2000000,237.1300000,232.3700000,237.1000000,43909750
20190731,00:00:00,237.4300000,239.6400000,234.4400000,236.9000000,45390530
20190801,00:00:00,234.5400000,237.3400000,233.2900000,234.2800000,31214130
20190802,00:00:00,231.2000000,233.1700000,227.9100000,227.9100000,59088400
20190805,00:00:00,225.9800000,228.0000000,222.3000000,223.6100000,53274790
20190806,00:00:00,223.6200000,227.7800000,223.6200000,226.7600000,30408050
20190807,00:00:00,226.9200000,232.6700000,225.5000000,227.6700000,49674350
20190808,00:00:00,230.5600000,233.5400000,230.4300000,231.2100000,29462320
20190809,00:00:00,231.4500000,232.2600000,228.9100000,229.9600000,18511340
20190812,00:00:00,231.0100000,232.9700000,229.2900000,230.2400000,15899440
20190813,00:00:00,229.8100000,232.1600000,226.4600000,229.8700000,35141330
20190814,00:00:00,231.1000000,231.1900000,224.5800000,227.1000000,35810650
20190815,00:00:00,227.6500000,229.7000000,224.8900000,227.1500000,32261660
20190816,00:00:00,228.3500000,229.3800000,224.0800000,224.7100000,25088600
20190819,00:00:00,226.0000000,227.2000000,223.6500000,226.8000000,19071590
20190820,00:00:00,226.7900000,232.3200000,226.1500000,231.5400000,34614850
20190821,00:00:00,231.7200000,232.3200000,230.5000000,231.2200000,20484120
20190822,00:00:00,231.0000000,233.9800000,230.2100000,232.0600000,26482270
20190823,00:00:00,232.6800000,233.0400000,228.9300000,229.3500000,28995640
20190826,00:00:00,228.8000000,230.6000000,228.0500000,228.9000000,10989680
20190827,00:00:00,228.9200000,229.2800000,223.0000000,227.0000000,55755870
20190828,00:00:00,226.5200000,228.6400000,224.8800000,228.4800000,32501460
20190829,00:00:00,228.8700000,235.2500000,228.6700000,233.2000000,47541460
20190830,00:00:00,233.6700000,233.8500000,231.0700000,232.1500000,21999850
20190902,00:00:00,231.9300000,234.2200000,230.5000000,233.6700000,19247230
20190903,00:00:00,233.4000000,233.6000000,229.9600000,231.0200000,20644460
20190904,00:00:00,232.7000000,234.7800000,232.1800000,233.7100000,27460870
20190905,00:00:00,234.6400000,238.1700000,234.6400000,236.1800000,29825470
20190906,00:00:00,235.8000000,235.9700000,232.3800000,234.4900000,24958710
20190909,00:00:00,235.0100000,235.6200000,233.0000000,234.8500000,16605360
20190910,00:00:00,234.5000000,235.1000000,232.0200000,233.0000000,24030270
20190911,00:00:00,233.0300000,235.3800000,232.2000000,235.0700000,27067670
20190912,00:00:00,234.4000000,235.2800000,231.5100000,232.8800000,28919220
20190913,00:00:00,232.6000000,233.4100000,230.8000000,232.5000000,17924170
20190916,00:00:00,233.9200000,234.8800000,232.5700000,234.8800000,29088960
20190917,00:00:00,234.5900000,235.1700000,232.3600000,233.5800000,28290430
20190918,00:00:00,233.0000000,233.9600000,232.3000000,233.4600000,12241830
20190919,00:00:00,233.2000000,233.2800000,230.0600000,230.5200000,31656770
20190920,00:00:00,230.7500000,231.0000000,228.5000000,230.4100000,34630870
20190923,00:00:00,230.5100000,231.2500000,228.8700000,230.3600000,16853630
20190924,00:00:00,230.4000000,230.6800000,227.1900000,227.7000000,22360090
20190925,00:00:00,227.0500000,228.7000000,225.7600000,228.4300000,22023600
20190926,00:00:00,228.7400000,233.7000000,228.3100000,231.9700000,40372280
20190927,00:00:00,231.9500000,232.1400000,229.0100000,229.0100000,13552170
20190930,00:00:00,229.0300000,229.4600000,225.9000000,225.9000000,26468400
20191001,00:00:00,225.9900000,227.7000000,225.1700000,226.4900000,16729200
20191002,00:00:00,226.2000000,226.6500000,223.2500000,223.6000000,31853130
20191003,00:00:00,223.5500000,224.8900000,220.7900000,223.1000000,29947650
20191004,00:00:00,224.3000000,224.6500000,221.2400000,221.6600000,21983910
20191007,00:00:00,221.8600000,226.8100000,220.6800000,226.3600000,22368580
20191008,00:00:00,226.5500000,227.7000000,222.7100000,223.2000000,22250070
